File_Type,GValue
File_Version,2
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20211027_135336
MTP,3
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,6,0
Rectangle_Spot_Size_Y_MM,6,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,50
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,"14,938","14,446","14,278","15,964","17,276","18,660","20,039","17,994","17,237","16,492","16,930","17,967","15,257","14,628","14,822","15,321","17,485","18,920","18,749","18,943","18,131","17,893","16,213","16,820","15,862","15,195","15,158","15,847","17,866","17,432","17,707","18,071","17,580","17,274","14,461","13,665","15,387","15,636","15,246","16,603","16,316","17,128","14,470","17,957","15,276","13,772","13,130","14,379","14,358","14,295","14,983","15,902","16,957","16,979","18,410","17,469","13,915","11,732","11,308","11,816","13,531","13,336","12,970","14,413","16,252","15,838","18,184","18,620","15,767","12,969","11,517","12,658","15,346","13,627","13,494","14,967","16,813","17,799","17,941","17,062","16,655","16,130","14,515","14,369","17,933","15,606","14,583","16,538","18,288","19,840","20,328","19,744","18,010","18,522","19,361","20,849",,mtp03_20211027_135336.bmp
30,"15,086","14,120","13,956","15,525","16,034","18,356","19,381","16,897","16,176","15,385","15,795","17,247","14,676","13,695","14,031","14,548","16,770","19,552","18,430","18,383","17,462","17,133","15,180","16,237","15,928","14,917","14,743","15,279","17,497","17,037","17,824","18,285","17,378","17,176","14,011","13,808","15,700","15,592","15,230","16,501","16,715","17,550","16,658","18,116","15,410","14,173","13,323","14,959","13,730","13,568","14,211","14,837","16,219","16,474","17,702","16,540","12,978","11,760","11,417","12,083","13,024","12,549","12,690","14,166","15,627","15,731","17,735","17,526","14,170","12,566","11,693","12,630","14,080","12,601","12,661","13,581","15,382","17,181","18,040","16,356","15,854","14,634","13,731","13,842","16,380","14,250","13,789","15,321","17,630","21,241","21,880","20,115","17,210","17,734","19,229","21,070",,mtp03_20211027_142337.bmp
60,"15,708","14,389","14,091","15,797","16,599","18,987","19,366","17,791","16,930","16,103","17,059","18,527","15,542","14,076","14,428","15,266","17,370","19,986","18,673","18,544","17,944","18,285","16,634","18,182","16,759","15,567","15,436","16,075","18,669","17,970","18,550","19,011","18,123","18,204","15,190","14,725","16,784","16,515","16,101","17,712","18,025","19,340","18,619","18,886","16,428","14,730","14,273","15,896","13,636","13,825","14,473","15,219","16,727","16,690","17,526","16,564","13,013","11,825","11,567","12,200","13,121","12,707","12,762","13,775","15,653","15,776","17,476","17,173","14,075","12,836","12,029","13,044","13,805","12,690","12,758","13,621","15,025","16,703","17,668","15,868","14,996","13,973","13,395","13,839","15,537","14,042","13,784","15,124","16,308","20,128","21,689","19,501","15,590","15,528","18,217","20,476",,mtp03_20211027_145337.bmp
"91,5","16,583","14,933","14,696","16,249","17,027","19,841","19,924","18,338","16,973","16,037","17,294","18,904","16,099","14,368","14,658","15,778","17,973","21,009","19,338","19,061","18,662","18,772","16,964","18,407","17,531","16,331","16,175","16,960","20,017","19,006","19,987","20,012","19,206","19,058","15,362","15,269","17,840","17,482","17,274","19,167","19,558","20,856","20,666","20,052","17,414","15,501","14,812","16,597","13,720","13,946","14,702","15,925","17,095","17,468","17,901","16,800","13,245","12,038","11,728","12,226","13,360","12,895","13,005","13,954","16,091","16,069","17,876","17,617","14,476","13,255","12,388","13,404","14,204","13,070","13,156","13,963","15,431","16,950","17,109","15,990","14,853","14,176","13,678","14,162","15,563","14,241","14,021","15,313","15,718","20,264","21,513","19,303","15,093","15,433","17,584","19,439",,mtp03_20211027_152502.bmp
"122,75","17,487","15,947","15,659","17,308","17,632","20,747","20,182","18,921","17,453","16,658","17,604","19,337","16,551","14,914","15,186","16,372","18,393","21,732","20,079","19,749","18,967","19,261","17,826","18,599","18,219","16,898","16,817","17,403","20,211","19,328","20,513","21,299","19,722","19,621","16,206","16,952","18,936","18,301","18,066","19,773","20,501","22,256","22,229","21,224","18,203","16,329","15,785","17,681","14,580","14,380","15,224","16,403","17,866","18,032","18,759","17,638","13,772","12,434","12,099","12,668","13,874","13,357","13,451","14,908","16,483","16,673","18,436","18,235","15,248","13,599","12,737","13,838","14,840","13,509","13,706","14,507","15,774","17,558","18,267","16,755","16,146","14,897","14,354","14,880","15,884","14,637","14,335","15,717","16,084","20,752","22,061","19,203","15,282","15,479","17,685","19,417",,mtp03_20211027_155614.bmp
"152,5","18,523","16,487","16,034","17,589","18,276","20,984","20,463","19,154","17,762","16,891","18,183","19,867","16,922","15,069","15,369","16,600","18,633","22,241","20,298","20,115","19,310","19,366","17,872","18,978","18,682","17,385","17,316","17,690","20,924","19,791","20,639","21,489","20,000","19,444","16,283","16,918","19,432","18,869","18,452","20,567","21,349","22,996","23,314","21,990","18,936","16,503","16,056","18,071","14,657","14,549","15,330","16,212","18,113","18,323","18,746","17,353","13,923","12,816","12,423","13,101","14,295","13,520","13,667","14,925","16,580","16,759","18,203","18,087","15,323","13,861","13,009","14,043","15,516","13,937","14,015","14,900","15,930","17,604","18,155","16,829","16,300","15,300","14,709","15,138","16,166","14,954","14,633","15,981","16,396","20,639","21,803","18,792","15,340","15,614","17,422","19,143",,mtp03_20211027_162613.bmp
"182,75","19,358","17,330","16,888","18,358","18,904","21,698","21,101","19,782","18,155","17,307","18,204","20,016","17,340","15,530","15,884","17,107","19,238","22,517","20,854","20,598","19,680","19,866","18,339","19,256","19,067","17,741","17,579","18,191","21,087","20,516","21,301","22,240","20,475","19,753","16,551","17,280","19,956","19,225","18,802","20,985","21,859","23,251","24,185","22,572","19,449","17,025","16,517","18,422","15,025","14,765","15,729","16,714","18,265","18,668","19,148","17,592","14,238","12,929","12,583","13,230","14,481","13,784","14,011","15,462","16,957","17,038","18,589","18,706","15,725","14,106","13,234","14,298","15,664","14,206","14,289","15,150","16,654","18,401","19,074","17,393","16,845","16,074","15,043","15,647","16,685","15,379","15,165","16,557","16,803","20,981","22,573","18,939","15,605","15,846","17,513","19,265",,mtp03_20211027_165614.bmp
"212,5","19,982","17,617","17,053","18,549","19,321","21,896","21,521","20,022","18,420","17,714","18,967","20,713","17,489","15,754","15,992","17,241","19,195","22,808","21,438","20,872","19,721","19,754","18,503","19,382","19,519","18,010","17,920","18,236","21,633","20,838","21,751","22,380","20,608","19,941","16,862","17,475","20,350","19,467","19,248","21,285","22,150","23,747","24,903","22,735","19,587","16,789","16,483","18,434","15,174","14,872","15,558","16,786","18,094","18,768","19,381","17,570","14,364","13,224","12,850","13,551","14,569","13,824","13,955","15,298","17,096","17,349","18,920","18,508","16,019","14,373","13,571","14,561","16,026","14,352","14,428","15,324","17,002","18,101","19,680","17,406","16,744","16,071","15,287","15,671","17,066","15,718","15,394","16,740","17,227","21,403","22,565","19,232","16,005","16,198","18,117","19,814",,mtp03_20211027_172613.bmp
"242,5","20,050","18,089","17,498","19,031","19,466","22,325","21,908","20,488","18,739","18,095","18,874","20,765","17,841","16,017","16,520","17,671","19,695","23,317","21,902","21,264","20,053","20,342","18,815","19,589","19,826","18,372","17,993","18,487","22,025","21,009","22,588","22,880","20,962","20,415","16,811","17,718","20,524","19,738","19,413","21,826","22,603","24,381","25,311","23,089","19,853","17,278","16,882","18,758","15,287","14,884","15,942","16,869","18,541","18,863","18,948","17,881","14,278","13,230","12,943","13,603","14,687","13,936","14,099","15,429","17,102","17,199","18,916","18,975","15,763","14,440","13,631","14,626","15,826","14,442","14,577","15,408","17,057","18,480","19,428","17,465","16,877","16,203","15,221","15,685","17,394","16,012","15,737","17,137","17,807","22,112","23,206","19,435","16,155","16,409","18,413","19,973",,mtp03_20211027_175613.bmp
"272,5","20,320","18,094","17,541","18,895","19,568","22,519","22,388","20,835","18,977","18,196","19,394","21,503","18,382","16,263","16,528","17,860","20,122","23,571","22,364","21,663","20,532","20,411","18,711","20,252","20,083","18,427","18,016","18,680","22,478","21,587","22,662","23,289","21,853","20,640","16,955","17,556","20,962","19,857","19,711","22,064","23,505","24,767","25,804","23,301","19,710","17,309","16,877","18,843","15,377","14,885","16,011","16,941","18,743","18,955","19,649","17,793","14,393","13,392","13,173","13,793","14,825","13,960","14,124","15,139","17,285","17,576","19,315","19,148","15,832","14,622","13,807","14,862","15,949","14,582","14,571","15,487","16,846","18,306","19,578","17,724","16,969","16,063","15,484","15,807","17,556","16,223","16,017","17,217","17,697","22,672","23,806","19,783","16,346","16,619","18,433","19,986",,mtp03_20211027_182613.bmp
