,Wells,Mu value,R2 value
0,A1,19.790699025444113,0.993927802296549
1,A2,22.77712603533949,0.9921257430561723
2,A3,17.234650218245843,0.9980063190726742
3,A4,22.969314589269352,0.9976939252404987
4,A5,21.770647416398724,0.9984092413787166
5,A6,23.08392073638156,0.9957576677843439
6,B1,25.467429249730476,0.9981228091449206
7,B2,20.313119702510964,0.9958537876517081
8,B3,12.539238662737073,0.9964337536199575
9,B4,22.32536983525729,0.9984720810398015
10,B5,18.721646810910265,0.9939325658660614
11,B6,23.31621235521779,0.9981811261435138
12,C1,22.893150176535745,0.9963073513561234
13,C2,17.820843022717767,0.9976419836115764
14,C3,15.445867796965109,0.9953609098239099
15,C4,19.05005927378992,0.9995994356797607
16,C5,18.177867121047548,0.9950250201665285
17,C6,11.972164574867119,0.9949000937979648
18,D1,0.3766542910306331,0.698478514543891
19,D2,False,False
20,D3,False,False
21,D4,False,False
22,D5,False,False
